depth,Year ,BPice,calB,Piceerr,ca,lBPgas,ca,
0,-55,22.44,-1,-1,0.0291,0.9948,-1,
1.65,-41.54,32.03,-1,-1,0.0291,0.9945,-1,
3.3,-20.47,63.21,-1,-1,0.0292,0.9942,-1,
4.95,4.3,81.82,-1,-1,0.0293,0.9941,-1,
6.6,31.06,90.52,-1,-1,0.029,0.9941,-1,
8.25,57.05,88.25,-1,-1,0.0288,0.994,-1,
9.9,85.04,84.33,-1,-1,0.0273,0.9939,-1,
11.55,114.51,92.06,-1,-1,0.0264,0.9938,-1,
13.2,145,98.9,-1,-1,0.0267,0.9939,-1,
14.85,176.33,99.86,-1,-1,0.0268,0.9938,-1,
16.5,207.54,101.99,-1,-1,0.027,0.9937,-1,
18.15,239.98,105.3,-1,-1,0.0265,0.9935,-1,
19.8,274.2,108.71,-1,-1,0.0261,0.9932,-1,
21.45,310.09,103.28,-1,-1,0.0259,0.9926,-1,
23.1,346.64,113.6,-1,-1,0.0253,0.9922,-1,
24.75,384.89,118.78,-1,-1,0.0254,0.9919,-1,
26.4,423.74,117.34,-1,-1,0.0263,0.9916,-1,
28.05,461.7,116.86,-1,-1,0.0265,0.9913,-1,
29.7,500.2,120.22,-1,-1,0.0262,0.991,-1,
31.35,539.86,120.13,-1,-1,0.0265,0.9907,-1,
33,579.52,118.77,-1,-1,0.0274,0.9906,-1,
34.65,618.15,117.79,-1,-1,0.0284,0.9906,-1,
36.3,655.8,136.91,-1,-1,0.0269,0.9905,-1,
37.95,696.74,130.57,-1,-1,0.0255,0.9904,-1,
39.6,740.26,130.8,-1,-1,0.0256,0.9905,-1,
41.25,784.06,122.54,-1,-1,0.0278,0.9906,-1,
42.9,824.8,131.82,-1,-1,0.0301,0.9905,-1,
44.55,863.05,132.2,-1,-1,0.0284,0.9903,-1,
46.2,903.94,135.39,-1,-1,0.0267,0.9901,-1,
47.85,947.77,139.37,-1,-1,0.0264,0.9899,-1,
49.5,992.56,138.98,-1,-1,0.0273,0.9897,-1,
51.15,1037.03,138.05,-1,-1,0.028,0.9894,-1,
52.8,1080.33,136.94,-1,-1,0.0274,0.9892,-1,
54.45,1124.67,118.88,-1,-1,0.028,0.9888,-1,
56.1,1169.43,126.99,-1,-1,0.0291,0.9885,32.74,
57.75,1212.13,146.71,81.12,94.26,0.0292,0.9881,33.93,
59.4,1255.11,145.19,85.86,98,0.0285,0.9877,35.14,
61.05,1300.31,148.99,91.38,101.52,0.0284,0.9873,36.37,
62.7,1345.56,133.52,95.77,104.8,0.0292,0.9868,37.63,
64.35,1390.3,136.06,100.11,108.35,0.0298,0.9866,38.85,
66,1433.9,149.06,105.07,112.12,0.0272,0.9861,40.1,
67.65,1482.74,138.28,110.46,116.51,0.0276,0.9858,41.41,
69.3,1530.9,148.65,113.69,124.75,0.0279,0.9855,42.7,
70.95,1578.87,146.65,117.98,128.69,0.0278,0.9853,44.02,
72.6,1627.5,141.39,121.44,131.86,0.0272,0.985,45.36,
74.25,1677.8,146.34,124.99,135.16,0.0276,0.9848,46.71,
75.9,1727.92,153.51,128.15,139.07,0.0273,0.9845,48.08,
77.55,1778.58,152.97,130.96,143.41,0.0275,0.9842,49.49,
79.2,1829.26,138.67,132.92,146.83,0.0271,0.9838,50.88,
80.85,1881.37,157.04,136.33,150.37,0.0284,0.9833,52.29,
82.5,1930.73,142.35,138.76,154.03,0.0285,0.9828,53.66,
84.15,1980.74,154.33,143.23,162.77,0.0279,0.9824,55.06,
85.8,2031.85,146.42,146.47,167.32,0.027,0.982,56.48,
87.45,2084.97,177.6,149.45,171.63,0.0282,0.9815,58,
89.1,2136.64,171.64,150.21,176.46,0.028,0.9811,59.46,
90.75,2188.7,149.24,152.65,180.5,0.027,0.9806,60.93,
92.4,2243.55,164.2,155.41,184.45,0.029,0.9801,62.41,
94.05,2294.52,161.92,158.13,188.51,0.0286,0.9796,63.9,
95.7,2346.95,164.73,161.01,192.92,0.025,0.9791,65.4,
97.35,2407.06,169.93,163.44,195.11,0.0262,0.9787,66.46,
99,2464.03,177.15,178.57,211.18,0.0266,0.9782,65.47,
100.65,2520.86,184.35,255.47,230.41,0.0283,0.9777,64.16,
102.3,2574.79,180.93,348.57,235.68,0.0286,0.9772,65.62,
103.95,2628.03,176.7,353.37,231.87,0.0293,0.9767,65.07,
105.6,2680.49,166.64,426.35,241.22,0.0284,0.9764,64.33,
107.25,2734.89,176.96,503.53,243.93,0.0291,0.9758,64.92,
108.9,2788.15,164.98,538.32,249.59,0.0305,0.9754,66.48,
110.55,2838.65,166.7,539.94,243.54,0.0314,0.9748,66.38,
112.2,2888.64,166.03,597.52,253.8,0.0289,0.9743,65.14,
113.85,2942.97,171.38,690.31,268.17,0.0288,0.9736,64.7,
115.5,2997.2,179.98,763.05,230.72,0.0276,0.9731,63.98,
117.15,3054.25,192.64,840.7,248.37,0.0286,0.9724,64.64,
118.8,3109.2,193.51,870.91,251.53,0.0296,0.972,65.64,
120.45,3162.77,197.65,891.05,267.95,0.0284,0.9714,64.11,
122.1,3219.34,185.49,1001.09,261.81,0.0267,0.9708,63.85,
123.75,3279.95,185.28,1066.1,270.51,0.0275,0.9702,63.52,
125.4,3338.77,176.45,1133.02,273.22,0.0281,0.9696,64.14,
127.05,3396.81,179.6,1168.94,261.4,0.0273,0.9691,63.72,
128.7,3456.58,200.24,1236.33,278.04,0.0282,0.9684,64.42,
130.35,3514.74,201.24,1268.58,283.06,0.0292,0.968,65.35,
132,3570.59,197.07,1293.39,278.31,0.029,0.9674,64.86,
133.65,3627.34,179.64,1365.6,272.82,0.03,0.967,65.52,
135.3,3682.58,204.01,1399.01,305.68,0.0304,0.9667,66.04,
136.95,3737.02,188.99,1435.78,298.99,0.0307,0.9662,65.9,
138.6,3790.94,187.69,1499.6,295.3,0.0289,0.9657,64.6,
140.25,3848.2,190.22,1602.09,299.25,0.0285,0.9653,63.99,
141.9,3906.34,176,1682.3,301.35,0.0287,0.965,64.92,
143.55,3964.41,200.11,1708.86,304.77,0.0285,0.9643,64.76,
145.2,4023.05,197.47,1775.41,311.76,0.0295,0.9639,64.65,
146.85,4079.72,188.73,1838.93,314.07,0.0295,0.9635,65.26,
148.5,4136.81,201.67,1878.43,301.06,0.0289,0.9627,64.78,
150.15,4194.7,181.16,1953.14,305.73,0.0293,0.9623,64.26,
151.8,4252.23,202.66,2026.32,313.39,0.03,0.9618,66.07,
153.45,4308.32,207.91,2029.43,312.08,0.029,0.9613,64.82,
155.1,4366.42,203.82,2129.89,316.28,0.0287,0.9608,65.14,
156.75,4425.14,206.5,2178.07,304.42,0.0289,0.9606,64.37,
158.4,4483.57,206.39,2264.68,311.3,0.0304,0.9604,66.06,
160.05,4539.45,202.33,2265.56,336.97,0.028,0.9597,63.72,
161.7,4599.7,214.76,2412.28,345.24,0.0288,0.9594,65.25,
163.35,4658.6,216.7,2419.43,341.05,0.0288,0.9588,64.48,
165,4717.34,219.56,2510.9,326.32,0.0287,0.9583,64.84,
166.65,4776.56,205.13,2559.21,313.61,0.0278,0.9581,64.51,
168.3,4837.69,213.2,2628.86,315.83,0.0281,0.9575,64.75,
169.95,4898.27,201.72,2678.98,329.93,0.0298,0.9572,65.13,
171.6,4955.4,207.81,2725.33,302.6,0.0291,0.9567,64.41,
173.25,5013.89,232.42,2807.22,307.5,0.0285,0.9563,65.42,
174.9,5073.67,225.97,2829.86,321.62,0.0281,0.9561,63.86,
176.55,5134.35,236.36,2905.93,334.56,0.0297,0.9556,66.51,
178.2,5192.23,247.38,2936.85,333.01,0.0295,0.9553,66.21,
179.85,5250.09,214.62,2974.82,334.34,0.0283,0.9548,65.55,
181.5,5310.46,233,3059.16,322.56,0.0294,0.9544,64.66,
183.15,5368.96,243.88,3147.28,364.76,0.0293,0.9538,64.07,
184.8,5427.26,226.39,3227.76,369.8,0.026,0.9534,64.62,
186.45,5493.35,236.09,3271.71,364.59,0.0266,0.9532,65.84,
188.1,5557.76,241.04,3290.14,357.45,0.0288,0.9528,63.53,
189.75,5617.6,237.82,3433.73,345.4,0.0289,0.9525,63.13,
191.4,5676.74,249.27,3508.7,335.48,0.0284,0.9523,64.28,
193.05,5737.28,230.05,3528.9,337.8,0.0294,0.9518,63.71,
194.7,5795.9,223.24,3607.11,332.31,0.0303,0.9517,64.27,
196.35,5852.38,245.96,3645.63,328.98,0.0303,0.9513,64.76,
198,5909.33,252.62,3687.07,335.31,0.0285,0.951,65.88,
199.65,5969.74,230.27,3707.18,344.95,0.0272,0.9507,64.52,
201.3,6033.05,270.89,3808.08,349.12,0.0293,0.9502,65.97,
202.95,6091.88,239.95,3818.92,356.08,0.0284,0.95,65.98,
204.6,6152.24,258.03,3877.45,357.16,0.029,0.9498,64.98,
206.25,6211.86,280.02,3971.81,358.75,0.0287,0.9495,65.29,
207.9,6271.95,280.25,4021.55,346.99,0.0279,0.9494,64.36,
209.55,6333.9,271.77,4110.28,351.1,0.028,0.949,64.19,
211.2,6395.52,271.08,4175.61,347.72,0.0273,0.9486,64.57,
212.85,6458.97,260.03,4222.23,341.08,0.0298,0.9481,65.31,
214.5,6516.94,254.67,4256.51,354.34,0.0272,0.9479,65.2,
216.15,6580.44,269.32,4317.78,352,0.0279,0.9474,64.54,
217.8,6642.38,243.43,4400.42,349.87,0.027,0.9468,64.71,
219.45,6706.43,239.3,4455.4,340.61,0.0288,0.9469,65.24,
221.1,6766.59,233.3,4495.58,363.98,0.0278,0.9469,64.05,
222.75,6828.86,231.87,4594.62,358.86,0.0282,0.9467,64.4,
224.4,6890.37,224.19,4642.58,365.59,0.0308,0.9462,65.95,
226.05,6946.67,235.42,4650.04,362.22,0.0282,0.946,64.78,
227.7,7008.11,211.54,4749.95,370.62,0.0282,0.9454,64.39,
229.35,7069.53,217.5,4826.02,369.34,0.0275,0.9451,64.8,
231,7132.9,220.07,4891.28,350.5,0.0273,0.9449,64.64,
232.65,7196.54,207.91,4938.3,355.3,0.0255,0.9442,64.44,
234.3,7264.7,210.57,5005.04,363.64,0.0268,0.9437,63.88,
235.95,7329.52,198.04,5085.98,372.25,0.0298,0.9432,65.58,
237.6,7387.94,211.06,5088.55,351.74,0.0264,0.9425,65.19,
239.25,7453.85,203.24,5163.14,362.3,0.0271,0.9419,64.74,
240.9,7518.59,196.49,5252.8,353.42,0.0284,0.9421,64.3,
242.55,7579.87,199.18,5313,358.06,0.0302,0.942,64.92,
244.2,7637.47,207.03,5351.11,364.7,0.0289,0.942,66.05,
245.85,7697.71,205.47,5371.54,393.41,0.029,0.9418,64.03,
247.5,7758.06,192.8,5522.42,395.11,0.029,0.9414,64.48,
249.15,7818.14,190.51,5556.91,374.09,0.0285,0.9411,65.5,
