bag,ztop,Year,Deuterium,temperature
1,0,-50,,218.3
2,0.55,-43.55977,,218.3
3,1.1,-37.44019,,218.3
4,1.65,-31.64156,,218.3
5,2.2,-24.55278,,218.3
6,2.75,-17.78422,,218.3
7,3.3,-11.01305,,218.3
8,3.85,-3.2703,,218.3
9,4.4,5.447842,,218.3
10,4.95,13.52999,,218.3
11,5.5,22.27284,,218.3
12,6.05,30.70987,,218.3
13,6.6,38.51757,-390.9,218.3
14,7.15,47.00211,-385.1,219.2
15,7.7,55.20552,-377.8,220.4
16,8.25,64.43646,-394.1,217.7
17,8.8,73.05573,-398.7,217
18,9.35,81.72349,-395.9,217.4
19,9.9,90.43857,-395.9,217.4
20,10.45,99.70485,-399.3,216.9
21,11,109.8195,-391.4,218.2
22,11.55,119.2176,-399.5,216.8
23,12.1,129.3916,-402.9,216.3
24,12.65,139.9534,-393.9,217.8
25,13.2,150.1377,-398.6,217
26,13.75,160.6797,-389.8,218.4
27,14.3,171.2088,-394.5,217.7
28,14.85,181.7194,-400.5,216.7
29,15.4,191.8325,-403.6,216.2
30,15.95,202.293,-393.1,217.9
31,16.5,212.5394,-410.9,215
32,17.05,223.471,-393.6,217.8
33,17.6,233.9967,-391.1,218.2
34,18.15,244.8395,-391.9,218.1
35,18.7,255.6953,-396.3,217.4
36,19.25,266.864,-397,217.3
37,19.8,277.9812,-404.7,216
38,20.35,289.4143,-398.2,217.1
39,20.9,301.1585,-395.2,217.6
40,21.45,312.545,-403.5,216.2
41,22,323.9099,-398.6,217
42,22.55,335.5896,-399.7,216.8
43,23.1,346.8579,-396,217.4
44,23.65,358.6178,-400.2,216.7
45,24.2,370.9679,-401.6,216.5
46,24.75,382.9111,-405.4,215.9
47,25.3,395.2021,-399,216.9
48,25.85,407.2843,-396.9,217.3
49,26.4,418.6733,-394.9,217.6
50,26.95,430.4257,-406.6,215.7
51,27.5,442.5554,-395.2,217.6
52,28.05,454.3007,-395.3,217.5
53,28.6,466.2551,-399.5,216.8
54,29.15,478.2794,-401,216.6
55,29.7,490.3924,-393.6,217.8
56,30.25,503.0865,-410.4,215
57,30.8,516.0368,-401.3,216.5
58,31.35,529.475,-398.3,217
59,31.9,542.6268,-388.5,218.7
60,32.45,555.8396,-391.9,218.1
61,33,568.3494,-400.8,216.6
62,33.55,580.9313,-387.7,218.8
63,34.1,593.5725,-401.4,216.5
64,34.65,606.2219,-401,216.6
65,35.2,619.1082,-387.3,218.9
66,35.75,631.65,-390.2,218.4
67,36.3,644.5452,-394.5,217.7
68,36.85,657.9103,-401.9,216.4
69,37.4,672.1189,-399.8,216.8
70,37.95,686.6481,-399.9,216.8
71,38.5,700.6882,-399.1,216.9
72,39.05,715.2436,-401.9,216.4
73,39.6,729.5808,-404.8,216
74,40.15,744.6373,-401.6,216.5
75,40.7,759.2383,-396.7,217.3
76,41.25,772.3893,-397.1,217.2
77,41.8,785.8553,-394.2,217.7
78,42.35,798.9567,-395.9,217.4
